Time,Treatment,Conc,Solv,Atra,Chlor,Fert,Dead,Alive,Total
2,A,102,0,1,0,0,0,7,7
2,A,102,0,1,0,0,0,4,4
2,A,102,0,1,0,0,0,11,11
2,A,102,0,1,0,0,2,10,12
2,A,102,0,1,0,0,0,15,15
2,A,102,0,1,0,0,0,2,2
2,C,64,0,0,1,0,0,6,6
2,C,64,0,0,1,0,0,11,11
2,C,64,0,0,1,0,0,14,14
2,C,64,0,0,1,0,2,4,6
2,C,64,0,0,1,0,0,17,17
2,C,64,0,0,1,0,0,8,8
2,F,4400,0,0,0,1,0,1,1
2,F,4400,0,0,0,1,0,7,7
2,F,4400,0,0,0,1,0,11,11
2,F,4400,0,0,0,1,0,45,45
2,F,4400,0,0,0,1,0,19,19
2,F,4400,0,0,0,1,0,7,7
2,S,0,1,0,0,0,0,4,4
2,S,0,1,0,0,0,0,2,2
2,S,0,1,0,0,0,0,26,26
2,S,0,1,0,0,0,1,6,7
2,S,0,1,0,0,0,0,28,28
2,S,0,1,0,0,0,0,22,22
4,A,102,0,1,0,0,0,8,8
4,A,102,0,1,0,0,0,8,8
4,A,102,0,1,0,0,1,1,2
4,A,102,0,1,0,0,0,6,6
4,A,102,0,1,0,0,0,3,3
4,A,102,0,1,0,0,0,6,6
4,C,64,0,0,1,0,0,9,9
4,C,64,0,0,1,0,1,11,12
4,C,64,0,0,1,0,0,8,8
4,C,64,0,0,1,0,0,5,5
4,C,64,0,0,1,0,0,3,3
4,C,64,0,0,1,0,0,7,7
4,F,4400,0,0,0,1,0,10,10
4,F,4400,0,0,0,1,1,13,14
4,F,4400,0,0,0,1,0,7,7
4,F,4400,0,0,0,1,0,6,6
4,F,4400,0,0,0,1,0,4,4
4,F,4400,0,0,0,1,0,6,6
4,S,0,1,0,0,0,0,12,12
4,S,0,1,0,0,0,0,12,12
4,S,0,1,0,0,0,0,10,10
4,S,0,1,0,0,0,1,8,9
4,S,0,1,0,0,0,0,7,7
4,S,0,1,0,0,0,0,21,21
8,A,102,0,1,0,0,0,1,1
8,A,102,0,1,0,0,1,23,24
8,A,102,0,1,0,0,0,3,3
8,A,102,0,1,0,0,1,4,5
8,A,102,0,1,0,0,0,0,0
8,A,102,0,1,0,0,0,2,2
8,C,64,0,0,1,0,0,8,8
8,C,64,0,0,1,0,2,21,23
8,C,64,0,0,1,0,0,4,4
8,C,64,0,0,1,0,0,9,9
8,C,64,0,0,1,0,1,4,5
8,C,64,0,0,1,0,0,3,3
8,F,4400,0,0,0,1,0,10,10
8,F,4400,0,0,0,1,3,24,27
8,F,4400,0,0,0,1,0,3,3
8,F,4400,0,0,0,1,0,8,8
8,F,4400,0,0,0,1,0,0,0
8,F,4400,0,0,0,1,1,4,5
8,S,0,1,0,0,0,0,10,10
8,S,0,1,0,0,0,1,11,12
8,S,0,1,0,0,0,0,9,9
8,S,0,1,0,0,0,0,5,5
8,S,0,1,0,0,0,0,3,3
8,S,0,1,0,0,0,0,13,13
12,A,102,0,1,0,0,1,25,26
12,A,102,0,1,0,0,0,4,4
12,A,102,0,1,0,0,3,16,19
12,A,102,0,1,0,0,0,12,12
12,A,102,0,1,0,0,0,3,3
12,A,102,0,1,0,0,0,2,2
12,C,64,0,0,1,0,0,12,12
12,C,64,0,0,1,0,0,1,1
12,C,64,0,0,1,0,0,15,15
12,C,64,0,0,1,0,1,10,11
12,C,64,0,0,1,0,0,3,3
12,C,64,0,0,1,0,0,5,5
12,F,4400,0,0,0,1,0,5,5
12,F,4400,0,0,0,1,0,4,4
12,F,4400,0,0,0,1,1,6,7
12,F,4400,0,0,0,1,3,4,7
12,F,4400,0,0,0,1,0,8,8
12,F,4400,0,0,0,1,0,6,6
12,S,0,1,0,0,0,0,20,20
12,S,0,1,0,0,0,1,5,6
12,S,0,1,0,0,0,1,12,13
12,S,0,1,0,0,0,4,17,21
12,S,0,1,0,0,0,0,5,5
12,S,0,1,0,0,0,2,5,7
24,A,102,0,1,0,0,4,2,6
24,A,102,0,1,0,0,1,2,3
24,A,102,0,1,0,0,2,1,3
24,A,102,0,1,0,0,2,0,2
24,A,102,0,1,0,0,8,0,8
24,A,102,0,1,0,0,7,2,9
24,C,64,0,0,1,0,7,0,7
24,C,64,0,0,1,0,9,1,10
24,C,64,0,0,1,0,4,2,6
24,C,64,0,0,1,0,7,2,9
24,C,64,0,0,1,0,15,3,18
24,C,64,0,0,1,0,2,0,2
24,F,4400,0,0,0,1,5,3,8
24,F,4400,0,0,0,1,5,0,5
24,F,4400,0,0,0,1,4,0,4
24,F,4400,0,0,0,1,3,2,5
24,F,4400,0,0,0,1,3,0,3
24,F,4400,0,0,0,1,10,1,11
24,S,0,1,0,0,0,1,2,3
24,S,0,1,0,0,0,0,3,3
24,S,0,1,0,0,0,1,1,2
24,S,0,1,0,0,0,5,0,5
24,S,0,1,0,0,0,2,2,4
24,S,0,1,0,0,0,1,0,1
