Day,treat,bm,bmup,bmlo,bmse
3.633540373,ctrl,10.01176471,10.01176471,10.01176471,0
6.540372671,ctrl,9.082352941,9.282352941,8.894117647,0.388235294
11.34782609,ctrl,8.811764706,9.117647059,8.482352941,0.635294118
16.82608696,ctrl,8.752941176,9.070588235,8.447058824,0.623529412
22.02484472,ctrl,8.976470588,9.235294118,8.705882353,0.529411765
24.54037267,ctrl,9.082352941,9.329411765,8.835294118,0.494117647
32.70186335,ctrl,8.741176471,9.094117647,8.4,0.694117647
3.633540373,fert,10,10,10,0
6.596273292,fert,10.96470588,11.23529412,10.96470588,0.270588235
11.29192547,fert,12.50588235,12.82352941,12.18823529,0.635294118
16.88198758,fert,12.37647059,12.70588235,12.02352941,0.682352941
21.9689441,fert,13.58823529,14.44705882,12.71764706,1.729411765
24.59627329,fert,13.44705882,14.03529412,12.81176471,1.223529412
32.70186335,fert,14.38823529,15.08235294,13.68235294,1.4
