time_hrs,chem,conc,mort,surv,surv.hi,surv.lo,surv.se
0.5,control,0,0,100,0.313825276,0,0.156912638
1,control,0,0,100,0.424264914,0,0.212132457
2,control,0,0,100,0.313825276,0,0.156912638
3,control,0,0,100,0.313825276,0,0.156912638
4,control,0,2.366412214,97.63358779,4.17921261,0.424264914,1.877473848
5,control,0,2.366412214,97.63358779,4.400091886,0.203385638,2.098353124
12,control,0,39.46564885,60.53435115,46.03583545,32.5621996,6.736817925
24,control,0,100,0,100,99.587,0.2065
0.5,atrazine,20,0,100,1.034750691,0,0.517375346
1,atrazine,20,0,100,0.958056498,0,0.479028249
2,atrazine,20,0,100,0.881362305,0,0.440681152
3,atrazine,20,0,100,0.881362305,0,0.440681152
4,atrazine,20,3.028799713,96.97120029,5.789790665,0.344502953,2.722643856
5,atrazine,20,10.31474806,89.68525194,14.83970546,6.019873245,4.409916105
12,atrazine,20,47.74151431,52.25848569,52.57324848,42.98647433,4.793387071
24,atrazine,20,100,0,100,99.43340048,0.28329976
0.5,atrazine,200,0,100,0.958056498,0,0.479028249
1,atrazine,200,0,100,0.881362305,0,0.440681152
2,atrazine,200,0,100,0.958056498,0,0.479028249
3,atrazine,200,0,100,0.958056498,0,0.479028249
4,atrazine,200,6.019873245,93.98012676,8.704170004,3.258882292,2.722643856
5,atrazine,200,14.3028461,85.6971539,22.43243058,6.173261631,8.129584472
12,atrazine,200,86.932247,13.067753,89.1563786,84.7081154,2.224131601
24,atrazine,200,100,0,100,99.43340048,0.28329976
