time_wks,time,chem,conc,surv,prop_surv,prop_dead,rel_prop_surv,eggs,hatch,hatch_per,hatch_per_day,rel_hatch,
0,0,control,0,50,1,0,1,0,0,0,0,1,
1,7,control,0,47.5,0.95,0.05,1,420,378,7.957894737,1.136842105,1,0.185500126
2,14,control,0,42,0.84,0.16,1,310,180,4.285714286,0.612244898,1,0.186374175
3,21,control,0,38,0.76,0.24,1,260,220,5.789473684,0.827067669,1,
4,28,control,0,26,0.52,0.48,1,190,140,5.384615385,0.769230769,1,
5,35,control,0,17,0.34,0.66,1,55,32,1.882352941,0.268907563,1,
6,42,control,0,4,0.08,0.92,1,0,0,0,0,1,
0,0,atrazine,330,50,1,0,1,0,0,0,0,0,
1,7,atrazine,330,42,0.84,0.16,0.884210526,184,62,1.476190476,0.210884354,0.185500126,
2,14,atrazine,330,31,0.62,0.38,0.738095238,86,10,0.322580645,0.046082949,0.075268817,
3,21,atrazine,330,22.5,0.45,0.55,0.592105263,0,0,0,0,0,
4,28,atrazine,330,0,0,1,0,0,0,0,0,0,
5,35,atrazine,330,0,0,1,0,0,0,0,0,0,
6,42,atrazine,330,0,0,1,0,0,0,0,0,0,
0,0,glyphosate,840,50,1,0,1,0,0,0,0,0,
1,7,glyphosate,840,44.5,0.89,0.11,0.936842105,288,66,1.483146067,0.21187801,0.186374175,
2,14,glyphosate,840,36,0.72,0.28,0.857142857,152,22,0.611111111,0.087301587,0.142592593,
3,21,glyphosate,840,31.5,0.63,0.37,0.828947368,36,4,0.126984127,0.01814059,0.021933622,
4,28,glyphosate,840,17,0.34,0.66,0.653846154,0,0,0,0,0,
5,35,glyphosate,840,0,0,1,0,0,0,0,0,0,
6,42,glyphosate,840,0,0,1,0,0,0,0,0,0,
