time_hrs,chem,conc,per_dead,surv
0,control,0,0,1
0.25,control,0,0,1
0.5,control,0,0,1
0.75,control,0,3,0.97
1,control,0,10,0.9
1.5,control,0,22,0.78
2,control,0,45,0.55
2.5,control,0,67,0.33
3,control,0,80,0.2
0,butralin,556,0,1
0.25,butralin,556,0,1
0.5,butralin,556,4,0.96
0.75,butralin,556,6,0.94
1,butralin,556,9,0.91
1.5,butralin,556,30,0.7
2,butralin,556,58,0.42
2.5,butralin,556,70,0.3
3,butralin,556,99,0.01
0,butralin,2417,0,1
0.25,butralin,2417,6,0.94
0.5,butralin,2417,20,0.8
0.75,butralin,2417,30,0.7
1,butralin,2417,60,0.4
1.5,butralin,2417,98,0.02
2,butralin,2417,100,0
2.5,butralin,2417,100,0
3,butralin,2417,100,0
0,butralin,3906,0,1
0.25,butralin,3906,9,0.91
0.5,butralin,3906,30,0.7
0.75,butralin,3906,90,0.1
1,butralin,3906,98,0.02
1.5,butralin,3906,100,0
2,butralin,3906,100,0
2.5,butralin,3906,100,0
3,butralin,3906,100,0
0,butralin,5560,0,1
0.25,butralin,5560,30,0.7
0.5,butralin,5560,66,0.34
0.75,butralin,5560,87,0.13
1,butralin,5560,100,0
1.5,butralin,5560,100,0
2,butralin,5560,100,0
2.5,butralin,5560,100,0
3,butralin,5560,100,0
0,butralin,8703,0,1
0.25,butralin,8703,44,0.56
0.5,butralin,8703,98,0.02
0.75,butralin,8703,100,0
1,butralin,8703,100,0
1.5,butralin,8703,100,0
2,butralin,8703,100,0
2.5,butralin,8703,100,0
3,butralin,8703,100,0
0,glyphosate,1506,0,1
0.25,glyphosate,1506,3,0.97
0.5,glyphosate,1506,10,0.9
0.75,glyphosate,1506,13,0.87
1,glyphosate,1506,15,0.85
1.5,glyphosate,1506,30,0.7
2,glyphosate,1506,40,0.6
2.5,glyphosate,1506,55,0.45
3,glyphosate,1506,89,0.11
0,glyphosate,3875,0,1
0.25,glyphosate,3875,15,0.85
0.5,glyphosate,3875,50,0.5
0.75,glyphosate,3875,60,0.4
1,glyphosate,3875,65,0.35
1.5,glyphosate,3875,85,0.15
2,glyphosate,3875,100,0
2.5,glyphosate,3875,100,0
3,glyphosate,3875,100,0
0,glyphosate,9174,0,1
0.25,glyphosate,9174,20,0.8
0.5,glyphosate,9174,65,0.35
0.75,glyphosate,9174,70,0.3
1,glyphosate,9174,90,0.1
1.5,glyphosate,9174,100,0
2,glyphosate,9174,100,0
2.5,glyphosate,9174,100,0
3,glyphosate,9174,100,0
0,glyphosate,15062,0,1
0.25,glyphosate,15062,75,0.25
0.5,glyphosate,15062,87,0.13
0.75,glyphosate,15062,91,0.09
1,glyphosate,15062,100,0
1.5,glyphosate,15062,100,0
2,glyphosate,15062,100,0
2.5,glyphosate,15062,100,0
3,glyphosate,15062,100,0
0,glyphosate,26249,0,1
0.25,glyphosate,26249,80,0.2
0.5,glyphosate,26249,98,0.02
0.75,glyphosate,26249,100,0
1,glyphosate,26249,100,0
1.5,glyphosate,26249,100,0
2,glyphosate,26249,100,0
2.5,glyphosate,26249,100,0
3,glyphosate,26249,100,0
0,pendimethalin,214.8,0,1
0.25,pendimethalin,214.8,0,1
0.5,pendimethalin,214.8,3,0.97
0.75,pendimethalin,214.8,10,0.9
1,pendimethalin,214.8,15,0.85
1.5,pendimethalin,214.8,60,0.4
2,pendimethalin,214.8,77,0.23
2.5,pendimethalin,214.8,86,0.14
3,pendimethalin,214.8,99,0.01
0,pendimethalin,535,0,1
0.25,pendimethalin,535,7,0.93
0.5,pendimethalin,535,16,0.84
0.75,pendimethalin,535,30,0.7
1,pendimethalin,535,80,0.2
1.5,pendimethalin,535,95,0.05
2,pendimethalin,535,100,0
2.5,pendimethalin,535,100,0
3,pendimethalin,535,100,0
0,pendimethalin,1299,0,1
0.25,pendimethalin,1299,15,0.85
0.5,pendimethalin,1299,25,0.75
0.75,pendimethalin,1299,53,0.47
1,pendimethalin,1299,100,0
1.5,pendimethalin,1299,100,0
2,pendimethalin,1299,100,0
2.5,pendimethalin,1299,100,0
3,pendimethalin,1299,100,0
0,pendimethalin,2148,0,1
0.25,pendimethalin,2148,35,0.65
0.5,pendimethalin,2148,76,0.24
0.75,pendimethalin,2148,98,0.02
1,pendimethalin,2148,100,0
1.5,pendimethalin,2148,100,0
2,pendimethalin,2148,100,0
2.5,pendimethalin,2148,100,0
3,pendimethalin,2148,100,0
0,pendimethalin,3762,0,1
0.25,pendimethalin,3762,66,0.34
0.5,pendimethalin,3762,100,0
0.75,pendimethalin,3762,100,0
1,pendimethalin,3762,100,0
1.5,pendimethalin,3762,100,0
2,pendimethalin,3762,100,0
2.5,pendimethalin,3762,100,0
3,pendimethalin,3762,100,0
