time_hrs,chem,conc,per_dead,surv,rel_prop_surv
0,control,0,0,1,1
0.25,control,0,0,1,1
0.5,control,0,0,1,1
0.75,control,0,0,1,1
1,control,0,6,0.94,1
1.5,control,0,12,0.88,1
2,control,0,17,0.83,1
2.5,control,0,20,0.8,1
3,control,0,50,0.5,1
0,butralin,556,0,1,1
0.25,butralin,556,0,1,1
0.5,butralin,556,0,1,1
0.75,butralin,556,2,0.98,0.98
1,butralin,556,6,0.94,1
1.5,butralin,556,15,0.85,0.965909091
2,butralin,556,30,0.7,0.843373494
2.5,butralin,556,60,0.4,0.5
3,butralin,556,90,0.1,0.2
0,butralin,2417,0,1,1
0.25,butralin,2417,0,1,1
0.5,butralin,2417,4,0.96,0.96
0.75,butralin,2417,10,0.9,0.9
1,butralin,2417,12,0.88,0.936170213
1.5,butralin,2417,16,0.84,0.954545455
2,butralin,2417,29,0.71,0.855421687
2.5,butralin,2417,50,0.5,0.625
3,butralin,2417,89,0.11,0.22
0,butralin,3906,0,1,1
0.25,butralin,3906,12,0.88,0.88
0.5,butralin,3906,39,0.61,0.61
0.75,butralin,3906,52,0.48,0.48
1,butralin,3906,78,0.22,0.234042553
1.5,butralin,3906,93,0.07,0.079545455
2,butralin,3906,100,0,0
2.5,butralin,3906,100,0,0
3,butralin,3906,100,0,0
0,butralin,5560,0,1,1
0.25,butralin,5560,45,0.55,0.55
0.5,butralin,5560,73,0.27,0.27
0.75,butralin,5560,81,0.19,0.19
1,butralin,5560,100,0,0
1.5,butralin,5560,100,0,0
2,butralin,5560,100,0,0
2.5,butralin,5560,100,0,0
3,butralin,5560,100,0,0
0,butralin,8703,0,1,1
0.25,butralin,8703,60,0.4,0.4
0.5,butralin,8703,100,0,0
0.75,butralin,8703,100,0,0
1,butralin,8703,100,0,0
1.5,butralin,8703,100,0,0
2,butralin,8703,100,0,0
2.5,butralin,8703,100,0,0
3,butralin,8703,100,0,0
0,glyphosate,1506,0,1,1
0.25,glyphosate,1506,0,1,1
0.5,glyphosate,1506,0,1,1
0.75,glyphosate,1506,14,0.86,0.86
1,glyphosate,1506,20,0.8,0.85106383
1.5,glyphosate,1506,25,0.75,0.852272727
2,glyphosate,1506,40,0.6,0.722891566
2.5,glyphosate,1506,70,0.3,0.375
3,glyphosate,1506,93,0.07,0.14
0,glyphosate,3875,0,1,1
0.25,glyphosate,3875,15,0.85,0.85
0.5,glyphosate,3875,23,0.77,0.77
0.75,glyphosate,3875,31,0.69,0.69
1,glyphosate,3875,43,0.57,0.606382979
1.5,glyphosate,3875,81,0.19,0.215909091
2,glyphosate,3875,100,0,0
2.5,glyphosate,3875,100,0,0
3,glyphosate,3875,100,0,0
0,glyphosate,9174,0,1,1
0.25,glyphosate,9174,19,0.81,0.81
0.5,glyphosate,9174,34,0.66,0.66
0.75,glyphosate,9174,69,0.31,0.31
1,glyphosate,9174,82,0.18,0.191489362
1.5,glyphosate,9174,100,0,0
2,glyphosate,9174,100,0,0
2.5,glyphosate,9174,100,0,0
3,glyphosate,9174,100,0,0
0,glyphosate,15062,0,1,1
0.25,glyphosate,15062,42,0.58,0.58
0.5,glyphosate,15062,65,0.35,0.35
0.75,glyphosate,15062,100,0,0
1,glyphosate,15062,100,0,0
1.5,glyphosate,15062,100,0,0
2,glyphosate,15062,100,0,0
2.5,glyphosate,15062,100,0,0
3,glyphosate,15062,100,0,0
0,glyphosate,26249,0,1,1
0.25,glyphosate,26249,78,0.22,0.22
0.5,glyphosate,26249,98,0.02,0.02
0.75,glyphosate,26249,100,0,0
1,glyphosate,26249,100,0,0
1.5,glyphosate,26249,100,0,0
2,glyphosate,26249,100,0,0
2.5,glyphosate,26249,100,0,0
3,glyphosate,26249,100,0,0
0,pendimethalin,214.8,0,1,1
0.25,pendimethalin,214.8,0,1,1
0.5,pendimethalin,214.8,4,0.96,0.96
0.75,pendimethalin,214.8,14,0.86,0.86
1,pendimethalin,214.8,23,0.77,0.819148936
1.5,pendimethalin,214.8,34,0.66,0.75
2,pendimethalin,214.8,60,0.4,0.481927711
2.5,pendimethalin,214.8,71,0.29,0.3625
3,pendimethalin,214.8,87,0.13,0.26
0,pendimethalin,535,0,1,1
0.25,pendimethalin,535,2,0.98,0.98
0.5,pendimethalin,535,9,0.91,0.91
0.75,pendimethalin,535,30,0.7,0.7
1,pendimethalin,535,55,0.45,0.478723404
1.5,pendimethalin,535,78,0.22,0.25
2,pendimethalin,535,89,0.11,0.13253012
2.5,pendimethalin,535,96,0.04,0.05
3,pendimethalin,535,100,0,0
0,pendimethalin,1299,0,1,1
0.25,pendimethalin,1299,19,0.81,0.81
0.5,pendimethalin,1299,34,0.66,0.66
0.75,pendimethalin,1299,69,0.31,0.31
1,pendimethalin,1299,83,0.17,0.180851064
1.5,pendimethalin,1299,100,0,0
2,pendimethalin,1299,100,0,0
2.5,pendimethalin,1299,100,0,0
3,pendimethalin,1299,100,0,0
0,pendimethalin,2148,0,1,1
0.25,pendimethalin,2148,32,0.68,0.68
0.5,pendimethalin,2148,73,0.27,0.27
0.75,pendimethalin,2148,100,0,0
1,pendimethalin,2148,100,0,0
1.5,pendimethalin,2148,100,0,0
2,pendimethalin,2148,100,0,0
2.5,pendimethalin,2148,100,0,0
3,pendimethalin,2148,100,0,0
0,pendimethalin,3762,0,1,1
0.25,pendimethalin,3762,75,0.25,0.25
0.5,pendimethalin,3762,100,0,0
0.75,pendimethalin,3762,100,0,0
1,pendimethalin,3762,100,0,0
1.5,pendimethalin,3762,100,0,0
2,pendimethalin,3762,100,0,0
2.5,pendimethalin,3762,100,0,0
3,pendimethalin,3762,100,0,0
