Study,id,species,time_hrs,chem,conc,feed_rate,error,per_control,per_max,per_min,notes
satapornvanit2009,1_7,m.rosenbergii,24,zinc,0,12.8,2.1628,1,1,1,
satapornvanit2009,1_7,m.rosenbergii,24,zinc,53.1,8.5,1.2138,0.6640625,0.758890625,0.569234375,
satapornvanit2009,1_7,m.rosenbergii,24,zinc,106.2,6.13,0.7279,0.47890625,0.535773438,0.422039063,
satapornvanit2009,1_7,m.rosenbergii,24,zinc,212.5,5.02,1.3244,0.3921875,0.49565625,0.28871875,
satapornvanit2009,1_7,m.rosenbergii,24,zinc,425,3,1.1034,0.234375,0.320578125,0.148171875,
satapornvanit2009,1_7,m.rosenbergii,24,zinc,850,0,0,0,0,0,
satapornvanit2009,1_8,m.rosenbergii,24,chlorpyrifos,0,12.81,2.1937,1,1,1,
satapornvanit2009,1_8,m.rosenbergii,24,chlorpyrifos,0.15625,9.31,1.581,0.726775956,0.85019516,0.603356753,
satapornvanit2009,1_8,m.rosenbergii,24,chlorpyrifos,0.3125,6.03,1.4625,0.470725995,0.584894614,0.356557377,
satapornvanit2009,1_8,m.rosenbergii,24,chlorpyrifos,0.625,2.81,0.4941,0.219359875,0.257931304,0.180788447,
satapornvanit2009,1_8,m.rosenbergii,24,chlorpyrifos,1.25,1.11,0.5534,0.086651054,0.129851678,0.043450429,
satapornvanit2009,1_8,m.rosenbergii,24,chlorpyrifos,2.5,0,0,0,0,0,
satapornvanit2009,1_8,m.rosenbergii,24,chlorpyrifos,5,0,0,0,0,0,
