"k","a","b"
1e-10,1,18.673730381691
0.0202020203010101,0.965528257823616,2.39180821417252
0.0404040405020202,0.955652523756138,1.85387345681964
0.0606060607030303,0.949967740334905,1.59813274624072
0.0808080809040404,0.946285760247731,1.44370108013648
0.101010101105051,0.943771439114019,1.33790759951225
0.121212121306061,0.942013841157617,1.25965259993669
0.141414141507071,0.940779738274663,1.1987403266514
0.161616161708081,0.939923862296621,1.14958675222596
0.181818181909091,0.939349713507369,1.10884699818973
0.202020202110101,0.938990177126717,1.07437797934787
0.222222222311111,0.938796827317007,1.04473450192876
0.242424242512121,0.93873366213238,1.01890176897296
0.262626262713131,0.938773453460839,0.996141595659473
0.282828282914141,0.938895178367167,0.975902594972303
0.303030303115152,0.939082298215134,0.957763712633331
0.323232323316162,0.939321726707063,0.941396253849463
0.343434343517172,0.939602962835277,0.926539540588844
0.363636363718182,0.939917515621623,0.912983666816305
0.383838383919192,0.940258467589745,0.900557406666886
0.404040404120202,0.940620149998615,0.889119451673911
0.424242424321212,0.940997894186312,0.878551976303139
0.444444444522222,0.941387837309224,0.868755841381623
0.464646464723232,0.941786810036291,0.859646863913583
0.484848484924242,0.942192039457886,0.851153281888019
0.505050505125253,0.942601408839232,0.843213027145779
0.525252525326263,0.94301302784502,0.835772528051084
0.545454545527273,0.943425347785262,0.828785069022793
0.565656565728283,0.943837076131696,0.822209740177577
0.585858585929293,0.944247134577747,0.816010542873794
0.606060606130303,0.944654628083465,0.810155644382696
0.626262626331313,0.945058837031449,0.804616747322579
0.646464646532323,0.945459059460893,0.79936889156497
0.666666666733333,0.945854895129198,0.794389269164523
0.686868686934343,0.946245891967621,0.789657801772999
0.707070707135354,0.946631718807967,0.785156296230913
0.727272727336364,0.947012112748649,0.780868320885156
0.747474747537374,0.947386866875727,0.776779006538488
0.767676767738384,0.947755824946656,0.772874846266368
0.787878787939394,0.948118873401731,0.769143542215597
0.808080808140404,0.94847592699461,0.765573907706307
0.828282828341414,0.948826964511694,0.762155578899621
0.848484848542424,0.949171917702779,0.758879344625823
0.868686868743434,0.949510822366666,0.755736432687262
0.888888888944445,0.949843686517715,0.752718950029413
0.909090909145455,0.95017054512379,0.749819579875787
0.929292929346465,0.950491520993409,0.747031396114533
0.949494949547475,0.950806450557323,0.744348662747335
0.969696969748485,0.951115624915742,0.741765086501351
0.989898989949495,0.95141904621969,0.739275470525002
1.01010101015051,0.951716797963913,0.736874824772282
1.03030303035152,0.952008967179609,0.73455851496081
1.05050505055253,0.952295646239067,0.732322218412763
1.07070707075354,0.952576930215015,0.730161905410478
1.09090909095455,0.95285291727249,0.728073808302032
1.11111111115556,0.953123706245117,0.726054410666488
1.13131313135657,0.953389397723396,0.724100417108712
1.15151515155758,0.953650092947653,0.722208740199935
1.17171717175859,0.953905893879001,0.72037648018861
1.1919191919596,0.954156901365475,0.718600919779053
1.21212121216061,0.95440321644144,0.716879500947768
1.23232323236162,0.954644939555079,0.71520981694885
1.25252525256263,0.954882170156202,0.713589600553518
1.27272727276364,0.955115006135676,0.712016716520603
1.29292929296465,0.955343636138875,0.710488944202523
1.31313131316566,0.955567881233977,0.709004994299652
1.33333333336667,0.955788109766042,0.707562454759562
1.35353535356768,0.956004323290449,0.706159825673934
1.37373737376869,0.956216611737366,0.704795500781541
1.3939393939697,0.956425064766521,0.703467952241288
1.41414141417071,0.956629769462545,0.702175734961909
1.43434343437172,0.956830811349719,0.700917476925652
1.45454545457273,0.957028274009882,0.699691875743089
1.47474747477374,0.957222239334252,0.698497695595378
1.49494949497475,0.957412787562019,0.697333759746991
1.51515151517576,0.957599996380246,0.696198952276798
1.53535353537677,0.957783942677687,0.695092205748326
1.55555555557778,0.957964701001879,0.694012509267183
1.57575757577879,0.958142343847188,0.692958897083408
1.5959595959798,0.958316942388198,0.691930448579617
1.61616161618081,0.958488565820219,0.690926286606851
1.63636363638182,0.958657281767913,0.689945571807812
1.65656565658283,0.958823156721524,0.688987503155353
1.67676767678384,0.958986254118518,0.688051318767313
1.69696969698485,0.959146636307482,0.687136288306462
1.71717171718586,0.95930436540156,0.686241710184095
1.73737373738687,0.959459500311924,0.685366917722746
1.75757575758788,0.959612099252345,0.684511268688651
1.77777777778889,0.95976221814119,0.683674153134012
1.7979797979899,0.959909912863534,0.682854980728285
1.81818181819091,0.960055236119629,0.682053191170867
1.83838383839192,0.960198240818314,0.681268242978673
1.85858585859293,0.960338977454753,0.680499618135102
1.87878787879394,0.960477495883065,0.679746819370507
1.89898989899495,0.960613844166061,0.679009370220792
1.91919191919596,0.960748069428511,0.678286811714352
1.93939393939697,0.960880217420543,0.6775787034154
1.95959595959798,0.961010332979965,0.676884621709968
1.97979797979899,0.961138459516798,0.676204158098355
2,0.961264639124536,0.675536922992564
